source,feature,metabolite,labeling,sample_name,value,sample
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0213_SQ1_1h,0.126425210026897,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0213_SQ1_1h,0.123273538559407,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0213_SQ1_1h,0.0343261567202298,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0213_SQ1_1h,0.00879722134828362,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0213_SQ1_1h,0.0437746983666299,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0213_SQ1_1h,0.0221944771191448,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0213_SQ1_1h,0.0127925840161007,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0213_SQ1_1h,0.0292242576388573,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0213_SQ1_1h,0.0721538447451942,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0213_SQ1_1h,0.125198793538399,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0213_SQ1_1h,0.240865258132447,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0213_SQ2_1h,0.277331225988798,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0213_SQ2_1h,0.25526401661217,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0213_SQ2_1h,0.0909870255364703,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0213_SQ2_1h,0.0271799867340106,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0213_SQ2_1h,0,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0213_SQ2_1h,0.0575467516753266,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0213_SQ2_1h,0.0571522097173133,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0213_SQ2_1h,0.0894310784634934,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0213_SQ2_1h,0.160791120057333,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0213_SQ2_1h,0.271415206331669,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0213_SQ2_1h,0.233443836823957,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0213_SQ3_1h,0.276367368525111,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0213_SQ3_1h,0.300943057959808,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0213_SQ3_1h,0.0981893071366136,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0213_SQ3_1h,0.0395879082108087,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0213_SQ3_1h,0.030059308147918,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0213_SQ3_1h,0.059349165811429,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0213_SQ3_1h,0.0537640875009436,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0213_SQ3_1h,0.108997564841375,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0213_SQ3_1h,0.157809598637039,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0213_SQ3_1h,0.151745258637647,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0213_SQ3_1h,0.315997153003207,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0215_SQ1_3h,0.107585127919788,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0215_SQ1_3h,0.099670980770162,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0215_SQ1_3h,0.041803959634323,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0215_SQ1_3h,0.0118403345632454,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0215_SQ1_3h,0.0178386711447488,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0215_SQ1_3h,0.0259785431212584,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0215_SQ1_3h,0.00536398206491214,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0215_SQ1_3h,0.0254624403971596,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0215_SQ1_3h,0.111470444177036,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0215_SQ1_3h,0.0511124191186775,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0215_SQ1_3h,0.222594174015895,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0215_SQ2_3h,0.0825037531270769,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0215_SQ2_3h,0.0813175672398399,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0215_SQ2_3h,0.0257448051463004,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0215_SQ2_3h,0.00262650200282853,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0215_SQ2_3h,0.0277188105638784,PDX
